N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,200","1,600",-2.68%,100,"3,474,413","5,969,783",49.97,"29,943,014",9.13,13.92,
2,LG에너지솔루션,"410,500","15,000",-3.53%,500,"960,570","234,000",3.35,"243,445",130.82,10.68,
3,SK하이닉스,"93,700","2,700",-2.80%,"5,000","682,138","728,002",49.59,"1,806,682",6.44,16.84,
4,삼성바이오로직스,"816,000","16,000",-1.92%,"2,500","580,780","71,174",10.55,"41,984",113.93,8.21,
5,삼성전자우,"53,700","1,600",-2.89%,100,"441,890","822,887",72.33,"1,171,725",8.43,N/A,
6,LG화학,"569,000","9,000",-1.56%,"5,000","401,670","70,592",47.53,"194,430",14.60,18.47,
7,삼성SDI,"556,000",0,0.00%,"5,000","382,331","68,765",42.85,"225,754",28.11,8.45,
8,NAVER,"232,000","5,500",-2.32%,100,"380,594","164,049",53.51,"587,235",28.21,106.72,
9,현대차,"169,500",500,-0.29%,"5,000","362,168","213,668",26.78,"430,809",9.03,6.84,
10,카카오,"69,200","3,000",-4.16%,100,"307,817","444,822",28.34,"1,967,930",12.47,17.10,
11,기아,"74,900","1,200",-1.58%,"5,000","303,617","405,363",36.24,"628,009",6.38,14.69,
12,POSCO홀딩스,"251,000","11,500",-4.38%,"5,000","218,839","87,187",53.08,"291,989",3.00,13.97,
13,셀트리온,"151,500","1,500",-0.98%,"1,000","213,263","140,768",20.18,"290,768",42.25,16.04,
14,KB금융,"51,300",800,-1.54%,"5,000","211,537","412,352",72.77,"735,421",4.64,9.80,
15,삼성물산,"109,500","3,000",-2.67%,100,"204,641","186,887",15.99,"204,719",15.57,5.40,
16,신한지주,"39,750",300,-0.75%,"5,000","203,891","512,934",62.46,"836,895",5.02,8.80,
17,SK이노베이션,"219,500","6,000",-2.66%,"5,000","202,962","92,466",25.39,"338,032",13.95,1.91,
18,현대모비스,"197,000","5,000",-2.48%,"5,000","186,309","94,573",34.11,"114,825",8.21,6.87,
19,카카오뱅크,"35,400",750,-2.07%,"5,000","168,597","476,261",13.19,"1,092,688",71.66,4.91,
20,SK,"223,000","8,500",-3.67%,200,"165,353","74,149",22.06,"78,097",5.44,10.19,
21,LG전자,"89,500","3,700",-3.97%,"5,000","146,465","163,648",26.98,"786,046",12.84,6.32,
22,한국전력,"21,750",950,-4.19%,"5,000","139,627","641,964",14.73,"2,022,254",-1.23,-7.99,
23,삼성생명,"66,000",500,-0.75%,500,"132,000","200,000",13.10,"211,105",20.28,4.01,
24,크래프톤,"258,500","4,000",-1.52%,100,"126,851","49,072",29.12,"120,658",21.26,17.86,
25,S-Oil,"112,500","3,000",-2.60%,"2,500","126,656","112,583",81.75,"246,543",6.89,21.76,
26,하나금융지주,"41,900",700,-1.64%,"5,000","123,984","295,903",73.15,"849,855",3.50,10.86,
